Channel,Package,Position,Satellite,Language,Resolution,Encryption,Genre,Type
Ecuador TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,General,TV
Ecuador TV Internacional,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,General,TV
Gamavisión,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Hope Channel Inter-America,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Religious,TV
Hope Channel Inter-America English,,117° W,EUTELSAT 117 West A,English,SD,Free-to-air,Religious,TV
Kids Street,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,Children,TV
Espacio Universitario,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,Education,TV
Canal Iberoamericano,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,Education,TV
TV Más,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
Canal del Congreso 45.1,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,Political,TV
Once México,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
Azteca Honduras,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,General,TV
Tele Saltillo,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
TV Arquidiocesana,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,Religious,TV
Free TV,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,Films,TV
Guatevisión,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
CB TV,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
TV Cuatro 4.1,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
CorTV,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
Inti TV,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
Panamericana TV,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
Ecuavisa,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
Willax TV,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
Guatevisión,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
