channelid,channel_category,trackers
7_1424_2110_0_1021_28342_1,{'General'},35
7_1543_3179_0_1107_17505_1,{'General'},1514
7_1101_3037_0_1111_28534_1,{'General'},132
7_83_719_0_1079_28008_1,{'Children'},179
7_21_763_0_7_775_133,{'Shopping'},17
7_21_761_0_7_65_133,{'Music'},264
7_1413_1946_0_5_776_133,{'General'},1468
7_1525_2915_0_1073_28205_1,{'General'},37
7_1514_2695_0_1053_21103_1,{'Shopping'},68
7_1558_2932_0_7_65_133,{'Music'},171
7_1446_1765_0_1025_10328_1,{'General'},36
7_66_1030_0_1021_28336_1,{'General'},39
7_1542_2876_0_1101_28107_1,{'General'},44
7_1556_3012_0_5_48_133,{'Documentary'},9
7_1525_2918_0_1073_28224_1,{'General'},112
7_1384_1830_0_1079_28011_1,{'Unknown'},37
7_1536_2961_0_1091_28810_1,"{'General', 'Music', 'Children'}",1176
7_1543_3181_0_1107_17507_1,{'General'},1226
7_101_869_0_1107_17509_1,{'Unknown'},1510
7_1554_2636_0_33_900_133,{'Sports'},792
7_1534_2953_0_1089_12030_1,{'Children'},600
7_1386_1440_0_1082_20005_1,{'General'},333
7_1543_3183_0_1107_17509_1,{'Unknown'},1135
7_17_657_0_1025_10328_1,{'General'},47
7_101_862_0_1107_17502_1,{'General'},143
7_101_868_0_1107_17508_1,{'General'},595
7_1534_2954_0_1089_12040_1,{'General'},606
7_1525_2916_0_1073_28206_1,{'General'},66
7_1502_2837_0_1031_5310_1,{'General'},418
7_1529_2893_0_1079_28011_1,{'Unknown'},277
7_1553_2849_0_3_318_133,{'Sports'},6
7_1413_1947_0_5_764_133,{'General'},51
7_1424_2102_0_1021_28334_1,{'General'},38
7_1502_2843_0_1031_5305_1,{None},274
7_1415_1871_0_7_775_133,{'Shopping'},18
7_1460_1610_0_1053_21100_1,{'General'},78
7_1531_2502_0_1082_20008_1,{'General'},139
7_83_721_0_1079_28014_1,{'Documentary'},32
7_1380_1853_0_1073_28206_1,{'General'},52
7_22_781_0_1089_12020_1,"{'General', 'Music', 'Children'}",59
7_1391_1898_0_1091_28810_1,"{'General', 'Music', 'Children'}",155
7_1542_2878_0_1101_28110_1,{'General'},42
7_19_672_0_1031_5305_1,{None},160
7_25_831_0_1201_28386_1,{'Unknown'},36
7_1383_1403_0_1078_28671_1,{'Music'},40
7_1436_1306_0_1010_11160_1,{'Children'},44
7_25_830_0_1201_28385_1,{'General'},139
7_1446_1763_0_1025_10326_1,{'General'},39
7_101_867_0_1107_17507_1,{'General'},147
7_78_705_0_1101_28107_1,{'General'},33
7_25_827_0_1201_28309_1,{'General'},39
7_1386_1443_0_1082_20008_1,{'General'},351
7_40_519_0_15_38_133,{'Unknown'},23
7_1460_1613_0_1053_21103_1,{'Shopping'},73
7_1389_1885_0_1089_12004_1,"{'General', 'Music', 'Children'}",34
7_1380_1858_0_1073_28227_1,{'General'},135
7_1424_2100_0_1021_28332_1,{'General'},39
7_0_878_0_1111_28536_1,{'General'},125
7_1397_1816_0_1101_28111_1,{'General'},36
7_20_285_0_1082_20008_1,{'General'},77
7_17_658_0_1025_10329_1,{'General'},38
7_1525_2920_0_1073_28226_1,{'General'},28
7_1514_2692_0_1053_21100_1,{'General'},114
7_1566_3144_0_1021_28337_1,{'General'},133
7_1542_2879_0_1101_28111_1,{'General'},40
7_1411_1570_0_33_32_133,{'Travel'},75
7_1403_1993_0_1113_12614_1,{'General'},61
7_1534_2948_0_1089_12004_1,"{'General', 'Music', 'Children'}",142
7_1448_1780_0_1031_5305_1,{None},75
7_1534_2958_0_1089_12090_1,{'Unknown'},40
7_1397_1817_0_1101_28113_1,{'General'},38
7_1534_2952_0_1089_12020_1,"{'General', 'Music', 'Children'}",45
7_1380_1860_0_1073_28229_1,{'General'},34
7_25_828_0_1201_28310_1,{'General'},11
7_1544_2646_0_1108_12122_1,{'Religion'},47
7_1424_2105_0_1021_28337_1,{'General'},38
7_1391_1900_0_1091_28820_1,{'Unknown'},40
7_1101_3038_0_1111_28535_1,{'General'},40
7_1566_3146_0_1021_28339_1,{'General'},45
7_1489_2365_0_1010_11160_1,{'Children'},65
7_1397_1813_0_1101_28107_1,{'General'},40
7_26_841_0_5_48_133,{'Documentary'},9
7_1389_1895_0_1089_12090_1,{'Unknown'},42
7_1534_2947_0_1089_12003_1,"{'General', 'Music', 'Children'}",33
7_1384_1826_0_1079_28007_1,{'Culture'},46
7_1384_1827_0_1079_28008_1,{'Children'},62
7_1548_3067_0_1117_13018_1,{'Shopping'},6
7_1407_1938_0_1201_28385_1,{'General'},73
7_1389_1889_0_1089_12020_1,"{'General', 'Music', 'Children'}",82
7_1413_1945_0_5_772_133,{'Documentary'},38
7_1528_2464_0_1078_28680_1,{'General'},15
7_66_1034_0_1021_28340_1,{'General'},40
7_22_785_0_1089_12061_1,{'General'},40
7_1500_2828_0_1025_10328_1,{'General'},25
7_1556_3008_0_5_772_133,{'Documentary'},41
7_1380_1857_0_1073_28226_1,{'General'},26
7_1407_1937_0_1201_28311_1,{'General'},38
7_1424_2101_0_1021_28333_1,{'General'},42
7_27_423_0_33_63_133,{'Documentary'},23
7_1550_2997_0_1201_28308_1,{'General'},13
7_17_659_0_1025_10330_1,{'General'},102
7_1542_2875_0_1101_28106_1,{'General'},35
7_1556_3011_0_5_1794_133,{'Shopping'},91
7_1380_1854_0_1073_28221_1,{None},48
7_27_422_0_33_51_133,{'General'},10
7_78_704_0_1101_28106_1,{'General'},31
7_22_778_0_1089_12005_1,"{'General', 'Music', 'Children'}",84
7_1424_2107_0_1021_28339_1,{'General'},35
7_83_720_0_1079_28006_1,{'General'},10
7_90_751_0_1073_28228_1,{'General'},23
7_25_824_0_1201_28306_1,{'General'},42
7_90_752_0_1073_28229_1,{'General'},38
7_1443_1752_0_1019_10304_1,{'General'},36
7_1407_1940_0_1201_28395_1,{None},34
7_32_489_0_1053_21104_1,{'Shopping'},18
7_1407_1939_0_1201_28386_1,{'Unknown'},29
7_1380_1856_0_1073_28225_1,{'General'},38
7_1534_2951_0_1089_12009_1,"{'General', 'Music', 'Children'}",37
7_66_1036_0_1021_28342_1,{'General'},82
7_90_747_0_1073_28224_1,{'General'},21
7_1407_1932_0_1201_28306_1,{'General'},36
7_1424_2106_0_1021_28338_1,{'General'},106
7_14_587_0_1005_13312_1,{'Unknown'},14
7_90_753_0_1073_28230_1,{'General'},31
7_1101_3039_0_1111_28536_1,{'General'},32
7_1389_1892_0_1089_12060_1,"{'General', 'Music'}",28
7_1389_1891_0_1089_12040_1,{'General'},13
7_1529_2890_0_1079_28008_1,{'Children'},45
7_1536_2963_0_1091_28820_1,{'Unknown'},88
7_1443_1749_0_1019_10301_1,{'General'},31
7_1534_2950_0_1089_12006_1,"{'General', 'Music', 'Children'}",41
7_66_1032_0_1021_28338_1,{'General'},46
7_1446_1767_0_1025_10330_1,{'General'},23
7_1550_3003_0_1201_28395_1,{None},19
7_1566_3147_0_1021_28340_1,{'General'},37
